INFO:root:[Train - epoch 1]	 Lc: 1.67e+00, Accuracy: 5.13e-01, 
INFO:root:[Val - epoch 1]	 Lc: 9.94e-01, Accuracy: 6.97e-01, F1-score: 6.97e-01, 
INFO:root:[Train - epoch 2]	 Lc: 4.28e-01, Accuracy: 9.25e-01, 
INFO:root:[Val - epoch 2]	 Lc: 7.26e-01, Accuracy: 7.71e-01, F1-score: 7.71e-01, 
INFO:root:[Train - epoch 3]	 Lc: 5.75e-02, Accuracy: 9.90e-01, 
INFO:root:[Val - epoch 3]	 Lc: 1.02e+00, Accuracy: 7.88e-01, F1-score: 7.88e-01, 
INFO:root:[Train - epoch 4]	 Lc: 2.46e-02, Accuracy: 9.93e-01, 
INFO:root:[Val - epoch 4]	 Lc: 7.98e-01, Accuracy: 8.14e-01, F1-score: 8.14e-01, 
INFO:root:[Train - epoch 5]	 Lc: 9.90e-03, Accuracy: 9.98e-01, 
INFO:root:[Val - epoch 5]	 Lc: 9.07e-01, Accuracy: 8.10e-01, F1-score: 8.10e-01, 
INFO:root:[Train - epoch 6]	 Lc: 1.28e-02, Accuracy: 9.97e-01, 
INFO:root:[Val - epoch 6]	 Lc: 1.09e+00, Accuracy: 8.05e-01, F1-score: 8.05e-01, 
INFO:root:[Train - epoch 7]	 Lc: 4.41e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 7]	 Lc: 1.07e+00, Accuracy: 8.09e-01, F1-score: 8.09e-01, 
INFO:root:[Train - epoch 8]	 Lc: 5.00e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 8]	 Lc: 9.23e-01, Accuracy: 8.11e-01, F1-score: 8.11e-01, 
INFO:root:[Train - epoch 9]	 Lc: 2.49e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 9]	 Lc: 9.86e-01, Accuracy: 8.09e-01, F1-score: 8.09e-01, 
INFO:root:[Train - epoch 10]	 Lc: 1.92e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 10]	 Lc: 9.64e-01, Accuracy: 8.13e-01, F1-score: 8.13e-01, 
INFO:root:[Train - epoch 11]	 Lc: 1.49e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 11]	 Lc: 1.06e+00, Accuracy: 8.10e-01, F1-score: 8.10e-01, 
INFO:root:[Train - epoch 12]	 Lc: 1.51e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 12]	 Lc: 9.96e-01, Accuracy: 8.09e-01, F1-score: 8.09e-01, 
INFO:root:[Train - epoch 13]	 Lc: 1.41e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 13]	 Lc: 1.03e+00, Accuracy: 8.09e-01, F1-score: 8.09e-01, 
INFO:root:[Train - epoch 14]	 Lc: 1.60e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 14]	 Lc: 1.08e+00, Accuracy: 8.07e-01, F1-score: 8.07e-01, 
INFO:root:[Train - epoch 15]	 Lc: 1.61e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 15]	 Lc: 1.18e+00, Accuracy: 8.05e-01, F1-score: 8.05e-01, 
INFO:root:[Train - epoch 16]	 Lc: 3.08e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 16]	 Lc: 1.03e+00, Accuracy: 8.10e-01, F1-score: 8.10e-01, 
INFO:root:[Train - epoch 17]	 Lc: 1.80e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 17]	 Lc: 1.20e+00, Accuracy: 8.03e-01, F1-score: 8.03e-01, 
INFO:root:[Train - epoch 18]	 Lc: 2.39e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 18]	 Lc: 1.06e+00, Accuracy: 8.08e-01, F1-score: 8.08e-01, 
INFO:root:[Train - epoch 19]	 Lc: 1.32e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 19]	 Lc: 1.14e+00, Accuracy: 8.05e-01, F1-score: 8.05e-01, 
INFO:root:[Train - epoch 20]	 Lc: 8.92e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 20]	 Lc: 1.17e+00, Accuracy: 8.05e-01, F1-score: 8.05e-01, 
INFO:root:[Train - epoch 21]	 Lc: 1.55e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 21]	 Lc: 1.11e+00, Accuracy: 8.04e-01, F1-score: 8.04e-01, 
INFO:root:[Train - epoch 22]	 Lc: 8.11e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 22]	 Lc: 1.09e+00, Accuracy: 8.05e-01, F1-score: 8.05e-01, 
INFO:root:[Train - epoch 23]	 Lc: 5.56e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 23]	 Lc: 1.13e+00, Accuracy: 8.04e-01, F1-score: 8.04e-01, 
INFO:root:[Train - epoch 24]	 Lc: 1.57e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 24]	 Lc: 1.16e+00, Accuracy: 8.02e-01, F1-score: 8.02e-01, 
INFO:root:[Train - epoch 25]	 Lc: 7.55e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 25]	 Lc: 1.16e+00, Accuracy: 8.01e-01, F1-score: 8.01e-01, 
INFO:root:[Train - epoch 26]	 Lc: 1.45e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 26]	 Lc: 9.09e-01, Accuracy: 8.10e-01, F1-score: 8.10e-01, 
INFO:root:[Train - epoch 27]	 Lc: 1.49e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 27]	 Lc: 9.60e-01, Accuracy: 8.10e-01, F1-score: 8.10e-01, 
INFO:root:[Train - epoch 28]	 Lc: 2.03e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 28]	 Lc: 1.12e+00, Accuracy: 8.02e-01, F1-score: 8.02e-01, 
INFO:root:[Train - epoch 29]	 Lc: 9.70e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 29]	 Lc: 1.21e+00, Accuracy: 7.99e-01, F1-score: 7.99e-01, 
INFO:root:[Train - epoch 30]	 Lc: 1.27e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 30]	 Lc: 1.17e+00, Accuracy: 7.97e-01, F1-score: 7.97e-01, 
INFO:root:[Train - epoch 31]	 Lc: 9.29e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 31]	 Lc: 1.23e+00, Accuracy: 7.97e-01, F1-score: 7.97e-01, 
INFO:root:[Train - epoch 32]	 Lc: 6.02e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 32]	 Lc: 1.08e+00, Accuracy: 8.01e-01, F1-score: 8.01e-01, 
INFO:root:[Train - epoch 33]	 Lc: 4.43e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 33]	 Lc: 1.18e+00, Accuracy: 7.98e-01, F1-score: 7.98e-01, 
INFO:root:[Train - epoch 34]	 Lc: 4.86e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 34]	 Lc: 1.17e+00, Accuracy: 7.98e-01, F1-score: 7.98e-01, 
INFO:root:[Train - epoch 35]	 Lc: 8.78e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 35]	 Lc: 1.05e+00, Accuracy: 8.01e-01, F1-score: 8.01e-01, 
INFO:root:[Train - epoch 36]	 Lc: 5.86e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 36]	 Lc: 1.22e+00, Accuracy: 7.95e-01, F1-score: 7.95e-01, 
INFO:root:[Train - epoch 37]	 Lc: 9.66e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 37]	 Lc: 1.12e+00, Accuracy: 7.95e-01, F1-score: 7.95e-01, 
INFO:root:[Train - epoch 38]	 Lc: 1.29e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 38]	 Lc: 1.06e+00, Accuracy: 7.98e-01, F1-score: 7.98e-01, 
INFO:root:[Train - epoch 39]	 Lc: 6.42e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 39]	 Lc: 1.25e+00, Accuracy: 7.92e-01, F1-score: 7.92e-01, 
INFO:root:[Train - epoch 40]	 Lc: 9.56e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 40]	 Lc: 1.28e+00, Accuracy: 7.91e-01, F1-score: 7.91e-01, 
INFO:root:[Train - epoch 41]	 Lc: 9.27e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 41]	 Lc: 1.26e+00, Accuracy: 7.89e-01, F1-score: 7.89e-01, 
INFO:root:[Train - epoch 42]	 Lc: 7.51e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 42]	 Lc: 1.28e+00, Accuracy: 7.88e-01, F1-score: 7.88e-01, 
INFO:root:[Train - epoch 43]	 Lc: 6.43e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 43]	 Lc: 1.23e+00, Accuracy: 7.88e-01, F1-score: 7.88e-01, 
INFO:root:[Train - epoch 44]	 Lc: 6.88e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 44]	 Lc: 1.19e+00, Accuracy: 7.87e-01, F1-score: 7.87e-01, 
INFO:root:[Train - epoch 45]	 Lc: 5.73e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 45]	 Lc: 1.22e+00, Accuracy: 7.86e-01, F1-score: 7.86e-01, 
INFO:root:[Train - epoch 46]	 Lc: 5.63e-04, Accuracy: 1.00e+00, 
