INFO:root:[Train - epoch 1]	 Lc: 1.51e+00, Accuracy: 5.24e-01, 
INFO:root:[Val - epoch 1]	 Lc: 7.99e-01, Accuracy: 7.43e-01, F1-score: 7.43e-01, 
INFO:root:[Train - epoch 2]	 Lc: 2.97e-01, Accuracy: 9.45e-01, 
INFO:root:[Val - epoch 2]	 Lc: 5.51e-01, Accuracy: 7.92e-01, F1-score: 7.92e-01, 
INFO:root:[Train - epoch 3]	 Lc: 7.32e-02, Accuracy: 9.88e-01, 
INFO:root:[Val - epoch 3]	 Lc: 4.98e-01, Accuracy: 8.07e-01, F1-score: 8.07e-01, 
INFO:root:[Train - epoch 4]	 Lc: 2.35e-02, Accuracy: 9.95e-01, 
INFO:root:[Val - epoch 4]	 Lc: 5.21e-01, Accuracy: 8.14e-01, F1-score: 8.14e-01, 
INFO:root:[Train - epoch 5]	 Lc: 2.89e-02, Accuracy: 9.92e-01, 
INFO:root:[Val - epoch 5]	 Lc: 8.81e-01, Accuracy: 7.88e-01, F1-score: 7.88e-01, 
INFO:root:[Train - epoch 6]	 Lc: 3.05e-02, Accuracy: 9.90e-01, 
INFO:root:[Val - epoch 6]	 Lc: 6.99e-01, Accuracy: 8.15e-01, F1-score: 8.15e-01, 
INFO:root:[Train - epoch 7]	 Lc: 1.14e-02, Accuracy: 9.96e-01, 
INFO:root:[Val - epoch 7]	 Lc: 6.17e-01, Accuracy: 8.41e-01, F1-score: 8.41e-01, 
INFO:root:[Train - epoch 8]	 Lc: 5.35e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 8]	 Lc: 8.23e-01, Accuracy: 8.24e-01, F1-score: 8.24e-01, 
INFO:root:[Train - epoch 9]	 Lc: 4.63e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 9]	 Lc: 5.75e-01, Accuracy: 8.38e-01, F1-score: 8.38e-01, 
INFO:root:[Train - epoch 10]	 Lc: 4.60e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 10]	 Lc: 5.91e-01, Accuracy: 8.35e-01, F1-score: 8.35e-01, 
INFO:root:[Train - epoch 11]	 Lc: 2.45e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 11]	 Lc: 5.96e-01, Accuracy: 8.34e-01, F1-score: 8.34e-01, 
INFO:root:[Train - epoch 12]	 Lc: 2.66e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 12]	 Lc: 6.20e-01, Accuracy: 8.29e-01, F1-score: 8.29e-01, 
INFO:root:[Train - epoch 13]	 Lc: 2.48e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 13]	 Lc: 5.86e-01, Accuracy: 8.30e-01, F1-score: 8.30e-01, 
INFO:root:[Train - epoch 14]	 Lc: 2.55e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 14]	 Lc: 6.61e-01, Accuracy: 8.26e-01, F1-score: 8.26e-01, 
INFO:root:[Train - epoch 15]	 Lc: 6.07e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 15]	 Lc: 6.03e-01, Accuracy: 8.10e-01, F1-score: 8.10e-01, 
INFO:root:[Train - epoch 16]	 Lc: 1.40e-02, Accuracy: 9.96e-01, 
INFO:root:[Val - epoch 16]	 Lc: 6.52e-01, Accuracy: 8.40e-01, F1-score: 8.40e-01, 
INFO:root:[Train - epoch 17]	 Lc: 4.10e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 17]	 Lc: 6.25e-01, Accuracy: 8.34e-01, F1-score: 8.34e-01, 
INFO:root:[Train - epoch 18]	 Lc: 2.42e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 18]	 Lc: 5.90e-01, Accuracy: 8.32e-01, F1-score: 8.32e-01, 
INFO:root:[Train - epoch 19]	 Lc: 2.11e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 19]	 Lc: 6.69e-01, Accuracy: 8.31e-01, F1-score: 8.31e-01, 
INFO:root:[Train - epoch 20]	 Lc: 2.63e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 20]	 Lc: 6.51e-01, Accuracy: 8.30e-01, F1-score: 8.30e-01, 
INFO:root:[Train - epoch 21]	 Lc: 1.18e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 21]	 Lc: 6.24e-01, Accuracy: 8.31e-01, F1-score: 8.31e-01, 
INFO:root:[Train - epoch 22]	 Lc: 1.72e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 22]	 Lc: 5.58e-01, Accuracy: 8.36e-01, F1-score: 8.36e-01, 
INFO:root:[Train - epoch 23]	 Lc: 1.33e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 23]	 Lc: 7.36e-01, Accuracy: 8.26e-01, F1-score: 8.26e-01, 
INFO:root:[Train - epoch 24]	 Lc: 1.12e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 24]	 Lc: 6.46e-01, Accuracy: 8.29e-01, F1-score: 8.29e-01, 
INFO:root:[Train - epoch 25]	 Lc: 1.69e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 25]	 Lc: 6.40e-01, Accuracy: 8.25e-01, F1-score: 8.25e-01, 
INFO:root:[Train - epoch 26]	 Lc: 1.87e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 26]	 Lc: 7.68e-01, Accuracy: 8.27e-01, F1-score: 8.27e-01, 
INFO:root:[Train - epoch 27]	 Lc: 1.44e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 27]	 Lc: 5.85e-01, Accuracy: 8.30e-01, F1-score: 8.30e-01, 
INFO:root:[Train - epoch 28]	 Lc: 2.97e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 28]	 Lc: 4.54e-01, Accuracy: 8.30e-01, F1-score: 8.30e-01, 
INFO:root:[Train - epoch 29]	 Lc: 1.96e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 29]	 Lc: 6.30e-01, Accuracy: 8.34e-01, F1-score: 8.34e-01, 
INFO:root:[Train - epoch 30]	 Lc: 1.02e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 30]	 Lc: 5.70e-01, Accuracy: 8.33e-01, F1-score: 8.33e-01, 
INFO:root:[Train - epoch 31]	 Lc: 1.25e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 31]	 Lc: 6.43e-01, Accuracy: 8.29e-01, F1-score: 8.29e-01, 
INFO:root:[Train - epoch 32]	 Lc: 1.36e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 32]	 Lc: 5.30e-01, Accuracy: 8.36e-01, F1-score: 8.36e-01, 
INFO:root:[Train - epoch 33]	 Lc: 9.69e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 33]	 Lc: 6.40e-01, Accuracy: 8.27e-01, F1-score: 8.27e-01, 
INFO:root:[Train - epoch 34]	 Lc: 7.88e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 34]	 Lc: 6.16e-01, Accuracy: 8.30e-01, F1-score: 8.30e-01, 
INFO:root:[Train - epoch 35]	 Lc: 2.08e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 35]	 Lc: 6.41e-01, Accuracy: 8.26e-01, F1-score: 8.26e-01, 
INFO:root:[Train - epoch 36]	 Lc: 1.54e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 36]	 Lc: 6.56e-01, Accuracy: 8.28e-01, F1-score: 8.28e-01, 
INFO:root:[Train - epoch 37]	 Lc: 1.45e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 37]	 Lc: 5.17e-01, Accuracy: 8.36e-01, F1-score: 8.36e-01, 
INFO:root:[Train - epoch 38]	 Lc: 2.40e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 38]	 Lc: 6.32e-01, Accuracy: 8.29e-01, F1-score: 8.29e-01, 
INFO:root:[Train - epoch 39]	 Lc: 1.61e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 39]	 Lc: 7.28e-01, Accuracy: 8.26e-01, F1-score: 8.26e-01, 
INFO:root:[Train - epoch 40]	 Lc: 1.56e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 40]	 Lc: 5.87e-01, Accuracy: 8.26e-01, F1-score: 8.26e-01, 
INFO:root:[Train - epoch 41]	 Lc: 8.72e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 41]	 Lc: 6.30e-01, Accuracy: 8.31e-01, F1-score: 8.31e-01, 
INFO:root:[Train - epoch 42]	 Lc: 2.02e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 42]	 Lc: 7.50e-01, Accuracy: 8.29e-01, F1-score: 8.29e-01, 
INFO:root:[Train - epoch 43]	 Lc: 9.60e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 43]	 Lc: 6.61e-01, Accuracy: 8.25e-01, F1-score: 8.25e-01, 
INFO:root:[Train - epoch 44]	 Lc: 6.87e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 44]	 Lc: 6.78e-01, Accuracy: 8.27e-01, F1-score: 8.27e-01, 
INFO:root:[Train - epoch 45]	 Lc: 7.06e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 45]	 Lc: 6.04e-01, Accuracy: 8.25e-01, F1-score: 8.25e-01, 
INFO:root:[Train - epoch 46]	 Lc: 1.03e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 46]	 Lc: 6.80e-01, Accuracy: 8.28e-01, F1-score: 8.28e-01, 
INFO:root:[Train - epoch 47]	 Lc: 7.55e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 47]	 Lc: 6.70e-01, Accuracy: 8.22e-01, F1-score: 8.22e-01, 
INFO:root:[Train - epoch 48]	 Lc: 7.51e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 48]	 Lc: 6.49e-01, Accuracy: 8.22e-01, F1-score: 8.22e-01, 
INFO:root:[Train - epoch 49]	 Lc: 2.70e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 49]	 Lc: 7.34e-01, Accuracy: 8.13e-01, F1-score: 8.13e-01, 
INFO:root:[Train - epoch 50]	 Lc: 1.16e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 50]	 Lc: 5.32e-01, Accuracy: 8.29e-01, F1-score: 8.29e-01, 
INFO:root:Best epoch: 28, best loss: 0.45386564405557467
