INFO:root:[Train - epoch 1]	 Lc: 1.38e+00, Accuracy: 5.75e-01, 
INFO:root:[Val - epoch 1]	 Lc: 7.64e-01, Accuracy: 7.35e-01, F1-score: 7.35e-01, 
INFO:root:[Train - epoch 2]	 Lc: 2.15e-01, Accuracy: 9.60e-01, 
INFO:root:[Val - epoch 2]	 Lc: 6.27e-01, Accuracy: 7.86e-01, F1-score: 7.86e-01, 
INFO:root:[Train - epoch 3]	 Lc: 3.57e-02, Accuracy: 9.93e-01, 
INFO:root:[Val - epoch 3]	 Lc: 7.46e-01, Accuracy: 7.73e-01, F1-score: 7.73e-01, 
INFO:root:[Train - epoch 4]	 Lc: 2.47e-02, Accuracy: 9.94e-01, 
INFO:root:[Val - epoch 4]	 Lc: 6.11e-01, Accuracy: 8.12e-01, F1-score: 8.12e-01, 
INFO:root:[Train - epoch 5]	 Lc: 1.67e-02, Accuracy: 9.95e-01, 
INFO:root:[Val - epoch 5]	 Lc: 7.22e-01, Accuracy: 8.20e-01, F1-score: 8.20e-01, 
INFO:root:[Train - epoch 6]	 Lc: 1.35e-02, Accuracy: 9.96e-01, 
INFO:root:[Val - epoch 6]	 Lc: 4.84e-01, Accuracy: 8.27e-01, F1-score: 8.27e-01, 
INFO:root:[Train - epoch 7]	 Lc: 1.16e-02, Accuracy: 9.97e-01, 
INFO:root:[Val - epoch 7]	 Lc: 6.55e-01, Accuracy: 8.45e-01, F1-score: 8.45e-01, 
INFO:root:[Train - epoch 8]	 Lc: 4.76e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 8]	 Lc: 5.95e-01, Accuracy: 8.59e-01, F1-score: 8.59e-01, 
INFO:root:[Train - epoch 9]	 Lc: 3.10e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 9]	 Lc: 5.34e-01, Accuracy: 8.58e-01, F1-score: 8.58e-01, 
INFO:root:[Train - epoch 10]	 Lc: 2.91e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 10]	 Lc: 4.36e-01, Accuracy: 8.64e-01, F1-score: 8.64e-01, 
INFO:root:[Train - epoch 11]	 Lc: 1.34e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 11]	 Lc: 5.57e-01, Accuracy: 8.60e-01, F1-score: 8.60e-01, 
INFO:root:[Train - epoch 12]	 Lc: 1.38e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 12]	 Lc: 5.49e-01, Accuracy: 8.54e-01, F1-score: 8.54e-01, 
INFO:root:[Train - epoch 13]	 Lc: 1.43e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 13]	 Lc: 5.67e-01, Accuracy: 8.53e-01, F1-score: 8.53e-01, 
INFO:root:[Train - epoch 14]	 Lc: 1.60e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 14]	 Lc: 8.65e-01, Accuracy: 8.42e-01, F1-score: 8.42e-01, 
INFO:root:[Train - epoch 15]	 Lc: 1.16e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 15]	 Lc: 6.16e-01, Accuracy: 8.49e-01, F1-score: 8.49e-01, 
INFO:root:[Train - epoch 16]	 Lc: 1.11e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 16]	 Lc: 5.02e-01, Accuracy: 8.48e-01, F1-score: 8.48e-01, 
INFO:root:[Train - epoch 17]	 Lc: 4.04e-02, Accuracy: 9.89e-01, 
INFO:root:[Val - epoch 17]	 Lc: 9.86e-01, Accuracy: 8.08e-01, F1-score: 8.08e-01, 
INFO:root:[Train - epoch 18]	 Lc: 3.06e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 18]	 Lc: 6.57e-01, Accuracy: 8.30e-01, F1-score: 8.30e-01, 
INFO:root:[Train - epoch 19]	 Lc: 1.90e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 19]	 Lc: 6.85e-01, Accuracy: 8.24e-01, F1-score: 8.24e-01, 
INFO:root:[Train - epoch 20]	 Lc: 1.92e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 20]	 Lc: 7.55e-01, Accuracy: 8.29e-01, F1-score: 8.29e-01, 
INFO:root:[Train - epoch 21]	 Lc: 1.17e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 21]	 Lc: 6.52e-01, Accuracy: 8.31e-01, F1-score: 8.31e-01, 
INFO:root:[Train - epoch 22]	 Lc: 1.29e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 22]	 Lc: 6.56e-01, Accuracy: 8.31e-01, F1-score: 8.31e-01, 
INFO:root:[Train - epoch 23]	 Lc: 1.23e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 23]	 Lc: 5.87e-01, Accuracy: 8.32e-01, F1-score: 8.32e-01, 
INFO:root:[Train - epoch 24]	 Lc: 1.23e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 24]	 Lc: 6.44e-01, Accuracy: 8.34e-01, F1-score: 8.34e-01, 
INFO:root:[Train - epoch 25]	 Lc: 1.16e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 25]	 Lc: 5.50e-01, Accuracy: 8.35e-01, F1-score: 8.35e-01, 
INFO:root:[Train - epoch 26]	 Lc: 1.08e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 26]	 Lc: 5.39e-01, Accuracy: 8.34e-01, F1-score: 8.34e-01, 
INFO:root:[Train - epoch 27]	 Lc: 9.49e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 27]	 Lc: 5.35e-01, Accuracy: 8.37e-01, F1-score: 8.37e-01, 
INFO:root:[Train - epoch 28]	 Lc: 9.36e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 28]	 Lc: 6.84e-01, Accuracy: 8.33e-01, F1-score: 8.33e-01, 
INFO:root:[Train - epoch 29]	 Lc: 1.27e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 29]	 Lc: 7.71e-01, Accuracy: 8.33e-01, F1-score: 8.33e-01, 
INFO:root:[Train - epoch 30]	 Lc: 1.87e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 30]	 Lc: 5.71e-01, Accuracy: 8.41e-01, F1-score: 8.41e-01, 
INFO:root:[Train - epoch 31]	 Lc: 8.65e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 31]	 Lc: 6.83e-01, Accuracy: 8.35e-01, F1-score: 8.35e-01, 
INFO:root:[Train - epoch 32]	 Lc: 7.00e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 32]	 Lc: 6.39e-01, Accuracy: 8.37e-01, F1-score: 8.37e-01, 
INFO:root:[Train - epoch 33]	 Lc: 9.98e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 33]	 Lc: 6.14e-01, Accuracy: 8.40e-01, F1-score: 8.40e-01, 
