# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
43 9.2958193e+00 2.9881695e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.1763029e+00 3.2857117e+01 9.8156600e+00
44 9.0378971e+00 3.3011368e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.9763250e+00 3.5953011e+01 1.0037955e+01
45 8.7817097e+00 3.5130455e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.7459159e+00 3.7489605e+01 1.0259482e+01
46 8.5141811e+00 3.6276424e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.5680566e+00 4.0717690e+01 1.0483043e+01
47 8.2606440e+00 3.8728828e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.3497438e+00 4.2484230e+01 1.0710807e+01
48 8.0029860e+00 3.9758987e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.2181368e+00 4.5151634e+01 1.0977701e+01
49 7.7750764e+00 4.0968773e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.9350352e+00 4.6589630e+01 1.1200070e+01
50 7.5221496e+00 4.3208893e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.7818389e+00 5.0567245e+01 1.1421103e+01
51 7.2732615e+00 4.4675095e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.5719242e+00 5.1953747e+01 1.1640812e+01
52 7.0060225e+00 4.6365677e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.4453120e+00 5.6047115e+01 1.1866222e+01
53 6.7838502e+00 4.9923733e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.4506183e+00 6.3016541e+01 1.2089041e+01
54 6.5914397e+00 5.5292599e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.1465540e+00 6.9040039e+01 1.2312674e+01
55 6.3190179e+00 5.8835728e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.0233397e+00 7.3285423e+01 1.2532334e+01
56 6.1213202e+00 6.1515087e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.9385977e+00 7.8033180e+01 1.2759106e+01
57 5.9278545e+00 6.6388702e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.8093801e+00 8.4892052e+01 1.2978815e+01
58 5.7690959e+00 7.2856674e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.7397542e+00 9.4090187e+01 1.3201682e+01
59 5.5889101e+00 8.0153671e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.5836916e+00 1.0682330e+02 1.3426736e+01
60 5.4840655e+00 8.8289078e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.5049314e+00 1.1158780e+02 1.3649617e+01
61 5.3222675e+00 9.2061768e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.4113207e+00 1.1212691e+02 1.3872773e+01
62 5.1838546e+00 9.1681816e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.2916670e+00 1.2050816e+02 1.4093657e+01
63 4.9935112e+00 9.9533485e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.2854733e+00 1.2386749e+02 1.4326500e+01
64 4.8925195e+00 1.0363998e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.2146163e+00 1.4016985e+02 1.4563378e+01
65 4.9336543e+00 1.1407758e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.1216426e+00 1.3545940e+02 1.4783267e+01
66 4.7065525e+00 1.0844855e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.9896173e+00 1.3609904e+02 1.5015382e+01
67 4.6052184e+00 1.1566428e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.9703221e+00 1.5412231e+02 1.5236198e+01
68 4.4872098e+00 1.2628242e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.9205770e+00 1.6115614e+02 1.5461504e+01
69 4.3844619e+00 1.3074736e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.8872676e+00 1.6919594e+02 1.5682790e+01
70 4.2949982e+00 1.3549945e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.8059373e+00 1.7036024e+02 1.5904500e+01
71 4.1847129e+00 1.3647546e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.7400899e+00 1.7702464e+02 1.6121430e+01
72 4.1322541e+00 1.4778580e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.7305460e+00 1.8746523e+02 1.6342309e+01
73 4.0262952e+00 1.4745372e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.5070391e+00 1.8295317e+02 1.6560072e+01
74 3.9007361e+00 1.4782674e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.5822120e+00 1.8966772e+02 1.6778729e+01
75 3.8112552e+00 1.5472971e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.3951783e+00 1.9526915e+02 1.7000856e+01
76 3.7528822e+00 1.6007278e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.4821105e+00 2.0355338e+02 1.7222342e+01
77 3.6866128e+00 1.6592825e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.2511659e+00 2.1313136e+02 1.7442467e+01
78 3.6741011e+00 1.7145294e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.3407750e+00 2.1460670e+02 1.7664937e+01
79 3.5739341e+00 1.7165419e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.1500325e+00 2.1738933e+02 1.7889318e+01
80 3.4523938e+00 1.7966739e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.0043359e+00 2.3325737e+02 1.8113417e+01
81 3.3780212e+00 1.9035484e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.0429296e+00 2.3952444e+02 1.8345501e+01
82 3.3692822e+00 1.9451987e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.9518540e+00 2.5014760e+02 1.8565948e+01
83 3.2538998e+00 1.9923679e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.9117022e+00 2.5705743e+02 1.8786691e+01
84 3.1895068e+00 2.0975542e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.7717760e+00 2.6692850e+02 1.9008666e+01
85 3.1491406e+00 2.1579695e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.7808142e+00 2.7149097e+02 1.9228890e+01
86 3.1775069e+00 2.2036188e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.8551908e+00 2.7744046e+02 1.9454544e+01
87 3.0763478e+00 2.2011812e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.8489819e+00 2.7121918e+02 1.9674989e+01
88 3.0444694e+00 2.2004289e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.6629026e+00 2.6612103e+02 1.9895216e+01
89 3.0305924e+00 2.1189322e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.6450524e+00 2.5532118e+02 2.0118484e+01
90 2.9715343e+00 2.1021646e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.6940179e+00 2.5810114e+02 2.0341746e+01
91 2.9166319e+00 2.0765738e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.7063603e+00 2.5962659e+02 2.0578748e+01
92 2.8805306e+00 2.0950632e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.6215971e+00 2.6473718e+02 2.0803035e+01
93 2.9515073e+00 2.1220825e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.5722883e+00 2.5228871e+02 2.1026406e+01
94 2.9136257e+00 1.9868600e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.3436852e+00 2.3959035e+02 2.1251036e+01
95 2.8924742e+00 1.9273122e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.3803430e+00 2.3334077e+02 2.1475648e+01
96 2.8201919e+00 1.9135300e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.4048705e+00 2.3430664e+02 2.1704313e+01
97 2.8317535e+00 1.8799255e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.7175868e+00 2.1815822e+02 2.1924670e+01
98 2.7078218e+00 1.7305528e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.4643540e+00 2.0398009e+02 2.2148880e+01
