INFO:root:[Train - epoch 1]	 Lc: 1.53e+00, Accuracy: 5.45e-01, 
INFO:root:[Val - epoch 1]	 Lc: 7.89e-01, Accuracy: 7.46e-01, F1-score: 7.46e-01, 
INFO:root:[Train - epoch 2]	 Lc: 3.06e-01, Accuracy: 9.45e-01, 
INFO:root:[Val - epoch 2]	 Lc: 4.89e-01, Accuracy: 8.03e-01, F1-score: 8.03e-01, 
INFO:root:[Train - epoch 3]	 Lc: 6.60e-02, Accuracy: 9.89e-01, 
INFO:root:[Val - epoch 3]	 Lc: 4.84e-01, Accuracy: 8.28e-01, F1-score: 8.28e-01, 
INFO:root:[Train - epoch 4]	 Lc: 2.70e-02, Accuracy: 9.92e-01, 
INFO:root:[Val - epoch 4]	 Lc: 4.39e-01, Accuracy: 8.25e-01, F1-score: 8.25e-01, 
INFO:root:[Train - epoch 5]	 Lc: 1.66e-02, Accuracy: 9.94e-01, 
INFO:root:[Val - epoch 5]	 Lc: 5.19e-01, Accuracy: 8.38e-01, F1-score: 8.38e-01, 
INFO:root:[Train - epoch 6]	 Lc: 1.85e-02, Accuracy: 9.94e-01, 
INFO:root:[Val - epoch 6]	 Lc: 4.59e-01, Accuracy: 8.47e-01, F1-score: 8.47e-01, 
INFO:root:[Train - epoch 7]	 Lc: 1.59e-02, Accuracy: 9.95e-01, 
INFO:root:[Val - epoch 7]	 Lc: 5.52e-01, Accuracy: 8.47e-01, F1-score: 8.47e-01, 
INFO:root:[Train - epoch 8]	 Lc: 6.21e-03, Accuracy: 9.98e-01, 
INFO:root:[Val - epoch 8]	 Lc: 4.19e-01, Accuracy: 8.56e-01, F1-score: 8.56e-01, 
INFO:root:[Train - epoch 9]	 Lc: 3.57e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 9]	 Lc: 4.40e-01, Accuracy: 8.56e-01, F1-score: 8.56e-01, 
INFO:root:[Train - epoch 10]	 Lc: 3.50e-03, Accuracy: 1.00e+00, 
