INFO:root:[Train - epoch 1]	 Lc: 1.67e+00, Accuracy: 4.91e-01, 
INFO:root:[Val - epoch 1]	 Lc: 1.04e+00, Accuracy: 7.36e-01, F1-score: 7.36e-01, 
INFO:root:[Train - epoch 2]	 Lc: 4.73e-01, Accuracy: 9.44e-01, 
INFO:root:[Val - epoch 2]	 Lc: 5.90e-01, Accuracy: 7.70e-01, F1-score: 7.70e-01, 
INFO:root:[Train - epoch 3]	 Lc: 9.49e-02, Accuracy: 9.87e-01, 
INFO:root:[Val - epoch 3]	 Lc: 5.67e-01, Accuracy: 8.15e-01, F1-score: 8.15e-01, 
INFO:root:[Train - epoch 4]	 Lc: 2.68e-02, Accuracy: 9.96e-01, 
INFO:root:[Val - epoch 4]	 Lc: 6.23e-01, Accuracy: 8.15e-01, F1-score: 8.15e-01, 
INFO:root:[Train - epoch 5]	 Lc: 1.27e-02, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 5]	 Lc: 5.98e-01, Accuracy: 8.16e-01, F1-score: 8.16e-01, 
INFO:root:[Train - epoch 6]	 Lc: 8.06e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 6]	 Lc: 5.90e-01, Accuracy: 8.25e-01, F1-score: 8.25e-01, 
INFO:root:[Train - epoch 7]	 Lc: 8.10e-03, Accuracy: 9.98e-01, 
INFO:root:[Val - epoch 7]	 Lc: 6.16e-01, Accuracy: 8.23e-01, F1-score: 8.23e-01, 
INFO:root:[Train - epoch 8]	 Lc: 4.85e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 8]	 Lc: 4.45e-01, Accuracy: 8.39e-01, F1-score: 8.39e-01, 
INFO:root:[Train - epoch 9]	 Lc: 5.73e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 9]	 Lc: 5.07e-01, Accuracy: 8.27e-01, F1-score: 8.27e-01, 
INFO:root:[Train - epoch 10]	 Lc: 3.62e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 10]	 Lc: 5.31e-01, Accuracy: 8.30e-01, F1-score: 8.30e-01, 
INFO:root:[Train - epoch 11]	 Lc: 3.25e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 11]	 Lc: 5.24e-01, Accuracy: 8.34e-01, F1-score: 8.34e-01, 
INFO:root:[Train - epoch 12]	 Lc: 2.92e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 12]	 Lc: 5.20e-01, Accuracy: 8.36e-01, F1-score: 8.36e-01, 
INFO:root:[Train - epoch 13]	 Lc: 3.14e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 13]	 Lc: 4.76e-01, Accuracy: 8.38e-01, F1-score: 8.38e-01, 
INFO:root:[Train - epoch 14]	 Lc: 3.30e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 14]	 Lc: 5.28e-01, Accuracy: 8.35e-01, F1-score: 8.35e-01, 
INFO:root:[Train - epoch 15]	 Lc: 3.67e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 15]	 Lc: 4.94e-01, Accuracy: 8.38e-01, F1-score: 8.38e-01, 
INFO:root:[Train - epoch 16]	 Lc: 3.51e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 16]	 Lc: 4.20e-01, Accuracy: 8.43e-01, F1-score: 8.43e-01, 
INFO:root:[Train - epoch 17]	 Lc: 3.45e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 17]	 Lc: 4.80e-01, Accuracy: 8.41e-01, F1-score: 8.41e-01, 
INFO:root:[Train - epoch 18]	 Lc: 3.33e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 18]	 Lc: 3.66e-01, Accuracy: 8.53e-01, F1-score: 8.53e-01, 
INFO:root:[Train - epoch 19]	 Lc: 2.58e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 19]	 Lc: 3.77e-01, Accuracy: 8.57e-01, F1-score: 8.57e-01, 
INFO:root:[Train - epoch 20]	 Lc: 3.00e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 20]	 Lc: 4.81e-01, Accuracy: 8.40e-01, F1-score: 8.40e-01, 
INFO:root:[Train - epoch 21]	 Lc: 2.03e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 21]	 Lc: 4.49e-01, Accuracy: 8.47e-01, F1-score: 8.47e-01, 
INFO:root:[Train - epoch 22]	 Lc: 1.86e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 22]	 Lc: 4.25e-01, Accuracy: 8.48e-01, F1-score: 8.48e-01, 
INFO:root:[Train - epoch 23]	 Lc: 1.91e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 23]	 Lc: 4.61e-01, Accuracy: 8.46e-01, F1-score: 8.46e-01, 
INFO:root:[Train - epoch 24]	 Lc: 2.35e-03, Accuracy: 1.00e+00, 
