# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
1 3.8922371e+01 1.5042095e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.1687283e+01 5.0278146e-02 1.8113165e+00
2 2.8165371e+01 1.7660846e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.5377884e+01 5.7589334e-01 2.0540152e+00
3 2.5233135e+01 1.1667151e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.4617403e+01 2.0964644e+00 2.2993658e+00
4 2.4695419e+01 2.6754899e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.4048800e+01 3.4631114e+00 2.5376883e+00
5 2.3838312e+01 3.9927335e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.3001043e+01 4.4165692e+00 2.7796600e+00
6 2.2880804e+01 4.5351329e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.2415640e+01 4.6899447e+00 3.0165772e+00
7 2.2530188e+01 4.3471394e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1953127e+01 3.9374859e+00 3.2562642e+00
8 2.1900007e+01 3.5983324e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1086075e+01 3.1568787e+00 3.4949534e+00
9 2.1323641e+01 3.1056619e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0511059e+01 3.0957768e+00 3.7345769e+00
10 2.0840511e+01 3.2489581e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9937891e+01 3.5041986e+00 3.9815009e+00
11 2.0284380e+01 3.8058898e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9325254e+01 4.1229706e+00 4.2193513e+00
12 1.9765156e+01 4.4499960e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8760489e+01 4.8562942e+00 4.4576814e+00
13 1.9242495e+01 5.2893734e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8189596e+01 5.6021895e+00 4.6959341e+00
14 1.8722811e+01 5.9849582e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.7604675e+01 6.3194675e+00 4.9415350e+00
15 1.8207958e+01 6.7109933e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.7029198e+01 6.9290829e+00 5.1870770e+00
16 1.7698006e+01 7.2654872e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.6468071e+01 7.4395518e+00 5.4289536e+00
17 1.7199064e+01 7.7657709e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.5928480e+01 7.8510180e+00 5.6843903e+00
18 1.6707994e+01 8.1440105e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.5423086e+01 8.1434097e+00 6.0363095e+00
19 1.6239677e+01 8.4060154e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4946888e+01 8.3580732e+00 6.4004827e+00
20 1.5806935e+01 8.5736504e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4507473e+01 8.4941254e+00 6.7754550e+00
21 1.5410674e+01 8.7420540e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4094732e+01 8.6347179e+00 7.1150978e+00
22 1.5028482e+01 8.8654823e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.3718238e+01 8.8100605e+00 7.4201391e+00
23 1.4670473e+01 9.0471058e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.3374871e+01 8.9065876e+00 7.6809576e+00
24 1.4349350e+01 9.2031355e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.3050929e+01 9.1291933e+00 7.9332044e+00
25 1.4037539e+01 9.3876514e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2756640e+01 9.2674494e+00 8.2272723e+00
26 1.3753868e+01 9.5825052e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2478930e+01 9.4267673e+00 8.5643773e+00
