INFO:root:[Train - epoch 1]	 Lc: 1.60e+00, Accuracy: 5.72e-01, 
INFO:root:[Val - epoch 1]	 Lc: 8.70e-01, Accuracy: 7.49e-01, F1-score: 7.49e-01, 
INFO:root:[Train - epoch 2]	 Lc: 3.06e-01, Accuracy: 9.54e-01, 
INFO:root:[Val - epoch 2]	 Lc: 5.39e-01, Accuracy: 8.09e-01, F1-score: 8.09e-01, 
INFO:root:[Train - epoch 3]	 Lc: 7.10e-02, Accuracy: 9.89e-01, 
INFO:root:[Val - epoch 3]	 Lc: 6.79e-01, Accuracy: 7.90e-01, F1-score: 7.90e-01, 
INFO:root:[Train - epoch 4]	 Lc: 3.18e-02, Accuracy: 9.92e-01, 
INFO:root:[Val - epoch 4]	 Lc: 6.92e-01, Accuracy: 7.85e-01, F1-score: 7.85e-01, 
INFO:root:[Train - epoch 5]	 Lc: 1.82e-02, Accuracy: 9.95e-01, 
INFO:root:[Val - epoch 5]	 Lc: 7.87e-01, Accuracy: 8.03e-01, F1-score: 8.03e-01, 
INFO:root:[Train - epoch 6]	 Lc: 1.08e-02, Accuracy: 9.98e-01, 
INFO:root:[Val - epoch 6]	 Lc: 7.81e-01, Accuracy: 8.00e-01, F1-score: 8.00e-01, 
INFO:root:[Train - epoch 7]	 Lc: 2.14e-02, Accuracy: 9.94e-01, 
INFO:root:[Val - epoch 7]	 Lc: 7.24e-01, Accuracy: 8.08e-01, F1-score: 8.08e-01, 
INFO:root:[Train - epoch 8]	 Lc: 6.98e-03, Accuracy: 9.98e-01, 
INFO:root:[Val - epoch 8]	 Lc: 7.02e-01, Accuracy: 8.08e-01, F1-score: 8.08e-01, 
INFO:root:[Train - epoch 9]	 Lc: 4.10e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 9]	 Lc: 5.80e-01, Accuracy: 8.15e-01, F1-score: 8.15e-01, 
INFO:root:[Train - epoch 10]	 Lc: 4.21e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 10]	 Lc: 6.25e-01, Accuracy: 8.12e-01, F1-score: 8.12e-01, 
INFO:root:[Train - epoch 11]	 Lc: 4.01e-03, Accuracy: 9.99e-01, 
