INFO:root:[Train - epoch 1]	 Lc: 1.64e+00, Accuracy: 5.42e-01, 
INFO:root:[Val - epoch 1]	 Lc: 1.08e+00, Accuracy: 6.77e-01, F1-score: 6.77e-01, 
INFO:root:[Train - epoch 2]	 Lc: 3.09e-01, Accuracy: 9.51e-01, 
INFO:root:[Val - epoch 2]	 Lc: 1.12e+00, Accuracy: 7.07e-01, F1-score: 7.07e-01, 
INFO:root:[Train - epoch 3]	 Lc: 4.76e-02, Accuracy: 9.89e-01, 
INFO:root:[Val - epoch 3]	 Lc: 1.11e+00, Accuracy: 7.43e-01, F1-score: 7.43e-01, 
INFO:root:[Train - epoch 4]	 Lc: 2.66e-02, Accuracy: 9.94e-01, 
INFO:root:[Val - epoch 4]	 Lc: 1.14e+00, Accuracy: 7.25e-01, F1-score: 7.25e-01, 
INFO:root:[Train - epoch 5]	 Lc: 2.03e-02, Accuracy: 9.94e-01, 
INFO:root:[Val - epoch 5]	 Lc: 9.45e-01, Accuracy: 7.54e-01, F1-score: 7.54e-01, 
INFO:root:[Train - epoch 6]	 Lc: 1.22e-02, Accuracy: 9.97e-01, 
INFO:root:[Val - epoch 6]	 Lc: 5.79e-01, Accuracy: 8.19e-01, F1-score: 8.19e-01, 
INFO:root:[Train - epoch 7]	 Lc: 4.22e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 7]	 Lc: 9.61e-01, Accuracy: 7.67e-01, F1-score: 7.67e-01, 
INFO:root:[Train - epoch 8]	 Lc: 4.45e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 8]	 Lc: 8.86e-01, Accuracy: 7.73e-01, F1-score: 7.73e-01, 
INFO:root:[Train - epoch 9]	 Lc: 2.52e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 9]	 Lc: 8.32e-01, Accuracy: 7.81e-01, F1-score: 7.81e-01, 
INFO:root:[Train - epoch 10]	 Lc: 2.32e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 10]	 Lc: 8.71e-01, Accuracy: 7.82e-01, F1-score: 7.82e-01, 
INFO:root:[Train - epoch 11]	 Lc: 1.49e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 11]	 Lc: 8.68e-01, Accuracy: 7.78e-01, F1-score: 7.78e-01, 
INFO:root:[Train - epoch 12]	 Lc: 1.53e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 12]	 Lc: 8.31e-01, Accuracy: 7.79e-01, F1-score: 7.79e-01, 
INFO:root:[Train - epoch 13]	 Lc: 1.95e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 13]	 Lc: 8.76e-01, Accuracy: 7.80e-01, F1-score: 7.80e-01, 
INFO:root:[Train - epoch 14]	 Lc: 1.26e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 14]	 Lc: 8.92e-01, Accuracy: 7.72e-01, F1-score: 7.72e-01, 
INFO:root:[Train - epoch 15]	 Lc: 1.64e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 15]	 Lc: 8.39e-01, Accuracy: 7.70e-01, F1-score: 7.70e-01, 
INFO:root:[Train - epoch 16]	 Lc: 8.09e-03, Accuracy: 9.98e-01, 
INFO:root:[Val - epoch 16]	 Lc: 1.21e+00, Accuracy: 7.64e-01, F1-score: 7.64e-01, 
INFO:root:[Train - epoch 17]	 Lc: 7.84e-03, Accuracy: 9.98e-01, 
INFO:root:[Val - epoch 17]	 Lc: 8.72e-01, Accuracy: 7.92e-01, F1-score: 7.92e-01, 
INFO:root:[Train - epoch 18]	 Lc: 1.26e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 18]	 Lc: 8.93e-01, Accuracy: 7.88e-01, F1-score: 7.88e-01, 
INFO:root:[Train - epoch 19]	 Lc: 1.18e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 19]	 Lc: 9.12e-01, Accuracy: 7.80e-01, F1-score: 7.80e-01, 
INFO:root:[Train - epoch 20]	 Lc: 9.36e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 20]	 Lc: 8.45e-01, Accuracy: 7.85e-01, F1-score: 7.85e-01, 
INFO:root:[Train - epoch 21]	 Lc: 9.28e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 21]	 Lc: 9.05e-01, Accuracy: 7.80e-01, F1-score: 7.80e-01, 
INFO:root:[Train - epoch 22]	 Lc: 9.14e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 22]	 Lc: 8.12e-01, Accuracy: 7.86e-01, F1-score: 7.86e-01, 
INFO:root:[Train - epoch 23]	 Lc: 8.69e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 23]	 Lc: 8.34e-01, Accuracy: 7.78e-01, F1-score: 7.78e-01, 
INFO:root:[Train - epoch 24]	 Lc: 7.94e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 24]	 Lc: 9.38e-01, Accuracy: 7.79e-01, F1-score: 7.79e-01, 
INFO:root:[Train - epoch 25]	 Lc: 9.38e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 25]	 Lc: 9.43e-01, Accuracy: 7.76e-01, F1-score: 7.76e-01, 
INFO:root:[Train - epoch 26]	 Lc: 1.12e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 26]	 Lc: 9.08e-01, Accuracy: 7.74e-01, F1-score: 7.74e-01, 
INFO:root:[Train - epoch 27]	 Lc: 9.09e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 27]	 Lc: 1.03e+00, Accuracy: 7.68e-01, F1-score: 7.68e-01, 
INFO:root:[Train - epoch 28]	 Lc: 2.00e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 28]	 Lc: 1.29e+00, Accuracy: 7.52e-01, F1-score: 7.52e-01, 
INFO:root:[Train - epoch 29]	 Lc: 1.43e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 29]	 Lc: 9.36e-01, Accuracy: 7.73e-01, F1-score: 7.73e-01, 
INFO:root:[Train - epoch 30]	 Lc: 8.93e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 30]	 Lc: 8.95e-01, Accuracy: 7.79e-01, F1-score: 7.79e-01, 
INFO:root:[Train - epoch 31]	 Lc: 8.62e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 31]	 Lc: 8.88e-01, Accuracy: 7.75e-01, F1-score: 7.75e-01, 
INFO:root:[Train - epoch 32]	 Lc: 1.13e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 32]	 Lc: 8.21e-01, Accuracy: 7.81e-01, F1-score: 7.81e-01, 
INFO:root:[Train - epoch 33]	 Lc: 7.36e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 33]	 Lc: 8.38e-01, Accuracy: 7.78e-01, F1-score: 7.78e-01, 
INFO:root:[Train - epoch 34]	 Lc: 6.28e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 34]	 Lc: 9.47e-01, Accuracy: 7.70e-01, F1-score: 7.70e-01, 
INFO:root:[Train - epoch 35]	 Lc: 9.20e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 35]	 Lc: 9.19e-01, Accuracy: 7.76e-01, F1-score: 7.76e-01, 
INFO:root:[Train - epoch 36]	 Lc: 1.06e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 36]	 Lc: 8.56e-01, Accuracy: 7.70e-01, F1-score: 7.70e-01, 
INFO:root:[Train - epoch 37]	 Lc: 8.13e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 37]	 Lc: 8.49e-01, Accuracy: 7.75e-01, F1-score: 7.75e-01, 
INFO:root:[Train - epoch 38]	 Lc: 7.12e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 38]	 Lc: 9.12e-01, Accuracy: 7.69e-01, F1-score: 7.69e-01, 
INFO:root:[Train - epoch 39]	 Lc: 2.28e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 39]	 Lc: 7.53e-01, Accuracy: 7.73e-01, F1-score: 7.73e-01, 
INFO:root:[Train - epoch 40]	 Lc: 9.09e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 40]	 Lc: 9.51e-01, Accuracy: 7.71e-01, F1-score: 7.71e-01, 
INFO:root:[Train - epoch 41]	 Lc: 7.72e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 41]	 Lc: 8.97e-01, Accuracy: 7.75e-01, F1-score: 7.75e-01, 
INFO:root:[Train - epoch 42]	 Lc: 1.16e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 42]	 Lc: 9.83e-01, Accuracy: 7.65e-01, F1-score: 7.65e-01, 
INFO:root:[Train - epoch 43]	 Lc: 1.18e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 43]	 Lc: 9.35e-01, Accuracy: 7.71e-01, F1-score: 7.71e-01, 
INFO:root:[Train - epoch 44]	 Lc: 8.40e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 44]	 Lc: 9.84e-01, Accuracy: 7.69e-01, F1-score: 7.69e-01, 
INFO:root:[Train - epoch 45]	 Lc: 1.13e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 45]	 Lc: 9.07e-01, Accuracy: 7.72e-01, F1-score: 7.72e-01, 
INFO:root:[Train - epoch 46]	 Lc: 8.14e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 46]	 Lc: 8.39e-01, Accuracy: 7.74e-01, F1-score: 7.74e-01, 
INFO:root:[Train - epoch 47]	 Lc: 7.07e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 47]	 Lc: 9.15e-01, Accuracy: 7.69e-01, F1-score: 7.69e-01, 
INFO:root:[Train - epoch 48]	 Lc: 8.72e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 48]	 Lc: 9.99e-01, Accuracy: 7.63e-01, F1-score: 7.63e-01, 
INFO:root:[Train - epoch 49]	 Lc: 9.11e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 49]	 Lc: 9.44e-01, Accuracy: 7.68e-01, F1-score: 7.68e-01, 
INFO:root:[Train - epoch 50]	 Lc: 1.55e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 50]	 Lc: 9.31e-01, Accuracy: 7.66e-01, F1-score: 7.66e-01, 
INFO:root:Best epoch: 6, best loss: 0.5794668126642345
