INFO:root:[Train - epoch 1]	 Lc: 1.71e+00, Accuracy: 5.29e-01, 
INFO:root:[Val - epoch 1]	 Lc: 1.13e+00, Accuracy: 6.73e-01, F1-score: 6.73e-01, 
INFO:root:[Train - epoch 2]	 Lc: 4.75e-01, Accuracy: 9.41e-01, 
INFO:root:[Val - epoch 2]	 Lc: 6.11e-01, Accuracy: 7.67e-01, F1-score: 7.67e-01, 
INFO:root:[Train - epoch 3]	 Lc: 8.29e-02, Accuracy: 9.90e-01, 
INFO:root:[Val - epoch 3]	 Lc: 6.56e-01, Accuracy: 7.95e-01, F1-score: 7.95e-01, 
INFO:root:[Train - epoch 4]	 Lc: 2.18e-02, Accuracy: 9.96e-01, 
INFO:root:[Val - epoch 4]	 Lc: 6.17e-01, Accuracy: 7.83e-01, F1-score: 7.83e-01, 
INFO:root:[Train - epoch 5]	 Lc: 1.54e-02, Accuracy: 9.97e-01, 
INFO:root:[Val - epoch 5]	 Lc: 6.27e-01, Accuracy: 8.14e-01, F1-score: 8.14e-01, 
INFO:root:[Train - epoch 6]	 Lc: 1.28e-02, Accuracy: 9.96e-01, 
INFO:root:[Val - epoch 6]	 Lc: 4.32e-01, Accuracy: 8.41e-01, F1-score: 8.41e-01, 
INFO:root:[Train - epoch 7]	 Lc: 6.52e-03, Accuracy: 9.98e-01, 
INFO:root:[Val - epoch 7]	 Lc: 5.80e-01, Accuracy: 8.31e-01, F1-score: 8.31e-01, 
INFO:root:[Train - epoch 8]	 Lc: 4.29e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 8]	 Lc: 5.10e-01, Accuracy: 8.44e-01, F1-score: 8.44e-01, 
INFO:root:[Train - epoch 9]	 Lc: 3.59e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 9]	 Lc: 4.32e-01, Accuracy: 8.49e-01, F1-score: 8.49e-01, 
INFO:root:[Train - epoch 10]	 Lc: 3.76e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 10]	 Lc: 4.67e-01, Accuracy: 8.50e-01, F1-score: 8.50e-01, 
INFO:root:[Train - epoch 11]	 Lc: 3.34e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 11]	 Lc: 4.55e-01, Accuracy: 8.47e-01, F1-score: 8.47e-01, 
INFO:root:[Train - epoch 12]	 Lc: 2.83e-03, Accuracy: 1.00e+00, 
